91,Brooklyn,40.6501,-73.9496,United States,New York
92,Riverbank,37.7269,-120.9406,United States,California
93,Hercules,38.0064,-122.2564,United States,California
94,Burbank,34.188,-118.3234,United States,California
95,Manhattan Beach,33.8895,-118.3972,United States,California
96,Irvine,33.6772,-117.7738,United States,California
97,Newark,37.5204,-122.0312,United States,California
98,Bakersfield,35.3528,-119.0354,United States,California
99,San Bernardino,34.1412,-117.2936,United States,California
100,Palm Springs,33.8012,-116.538,United States,California
101,Lompoc,34.6617,-120.4714,United States,California
102,Fresno,36.7834,-119.7933,United States,California
103,Arcadia,34.1342,-118.0373,United States,California
104,Santa Barbara,34.4285,-119.7202,United States,California
105,Orange,33.8038,-117.8219,United States,California
106,Santa Monica,34.0232,-118.4813,United States,California
107,San Fernando,34.2886,-118.4363,United States,California
108,Las Vegas,36.2288,-115.2603,United States,Nevada
109,Reno,39.5487,-119.8486,United States,Nevada
110,Denver,39.7621,-104.8759,United States,Colorado
111,Louisville,39.9708,-105.1441,United States,Colorado
112,Pocatello,42.8716,-112.466,United States,Idaho
113,Boise,43.5991,-116.2306,United States,Idaho
114,Rexburg,43.8221,-111.7926,United States,Idaho
115,Idaho Falls,43.4878,-112.0359,United States,Idaho
116,Orem,40.2988,-111.699,United States,Utah
117,Saratoga Springs,40.3421,-111.9134,United States,Utah
118,Riverton,40.5176,-111.9635,United States,Utah
119,American Fork,40.3815,-111.7935,United States,Utah
120,Salt Lake City,40.7774,-111.9301,United States,Utah
121,Ogden,41.2281,-111.9677,United States,Utah
122,Moab,38.57,-109.5476,United States,Utah
123,Lehi,40.414,-111.8729,United States,Utah
